claim,fact_checker,rating
A photograph shows two men standing next to a dog who had its ears cut off.,Dan Evon,TRUE
"Congressman John Lewis didn't pay property taxes on his townhouse in Washington, D.C.",Bethania Palma,unproven
,,
Donald Trump posed for a fake speechwriting photograph at an auction house's receptionist's desk.,Kim LaCapria,false
,,
A photograph shows a homeless woman outside in the cold holding a dead baby.,Dan Evon,mixture
"The Hampton United Methodist Church called Donald Trump a pervert, a con artist, and a fascist on their church sign.",Dan Evon,FALSE
"Russia minted ""In Trump We Trust"" coins ahead of the 45th U.S. president's inauguration.",Bethania Palma,mixture
,,
Coretta Scott King wrote a letter opposing Jeff Session's confirmation for appointment as a federal judge.,Arturo Garcia,true
,,
President Obama ordered a life-sized bronze statue of himself to be permanently installed at the White House.,Dan Evon,FALSE
A photograph shows two men standing next to a dog who had its ears cut off.,Dan Evon,TRUE
"Congressman John Lewis didn't pay property taxes on his townhouse in Washington, D.C.",Bethania Palma,unproven
Donald Trump posed for a fake speechwriting photograph at an auction house's receptionist's desk.,Kim LaCapria,false
,,
,,
A photograph shows a homeless woman outside in the cold holding a dead baby.,Dan Evon,mixture
"The Hampton United Methodist Church called Donald Trump a pervert, a con artist, and a fascist on their church sign.",Dan Evon,FALSE
,,
"Russia minted ""In Trump We Trust"" coins ahead of the 45th U.S. president's inauguration.",Bethania Palma,mixture
Coretta Scott King wrote a letter opposing Jeff Session's confirmation for appointment as a federal judge.,Arturo Garcia,true
,,
President Obama ordered a life-sized bronze statue of himself to be permanently installed at the White House.,Dan Evon,FALSE
Melania Trump's biography on the White House web site promotes her jewelry line.,Arturo Garcia,mostly true
"Capsaicin, the spice-causing molecule in chili peppers, can help beat breast cancer.",Alex Kasprak,Unproven
"There is a faceless, semi-human monster called Slenderman who stands eight feet tall, has tentacles for arms, stalks and eats small children, and communicates telepathically with his human servants, called ""proxies.""",David Emery,False
The Clinton Foundation is shutting down due to lack of donations.,Bethania Palma,mixture
Donald Trump requested tanks and missile launchers at his inaugural parade.,Kim LaCapria,unproven
"Canadian officials planted a ""privacy hedge"" along that country's border with the U.S.",Arturo Garcia,FALSE
,,
"President Donald Trump's proposed 2020 re-election campaign slogan (""Keep America Great"") was used in a 'Purge' film.",Kim LaCapria,true
"Donald Trump removed the terms ""LGBT"" and ""climate change"" from the White House web site.",Dan Evon,MIXTURE
A photograph captured Joe Biden posing menacingly with an elderly woman and a gun.,Kim LaCapria,false
"A highway sign in Maryland told drivers to ""Consider Canada"" due to inauguration traffic.",Dan Evon,FALSE
,,
A pilot refused to let President Obama onboard a helicopter after he failed to salute a Marine.,Dan Evon,FALSE
A photograph shows President Obama taking the oath of office with his hand on a Quran.,Dan Evon,FALSE
Early images depict massive crowds at the 20 January 2017 inauguration of Donald Trump.,Kim LaCapria,false
"Former president Barack Obama referred to himself 75 times during his farewell speech, compared to just 3 self-references by President Donald Trump in his inaugural address.",Dan Evon,mixture
Application of Vicks VapoRub to the soles of children's feet effectively counters nighttime cough.,snopes.com staff,unproven
A photograph depicts a sign at Target informing customers purchasing pork or alcohol to choose another lane to accommodate Muslim employees.,snopes.com staff,false
President-elect Donald Trump was pictured at a cross burning with the KKK.,Dan Evon,FALSE
,,
,,
Scientists have determined a date in January is statistically the most depressing day of the year.,snopes.com staff,false
A woman was arrested after police discovered she was killing her neighbors' cats to make fur coats from them.,David Mikkelson,false
"Raggedy Ann dolls were created by a grief-stricken father who lost his daughter to a vaccine-related illness, and who wished to broadcast the risks of vaccination.",Kim LaCapria,mostly false
"Southern Illinois University is closing down its Carbondale campus thanks to ""social justice warrior"" activity.",Bethania Palma,false
"More than 30,000 cows froze to death during a winter storm because farmers could not be bothered to take care of their animals.",Dan Evon,mixture
"During the 19th and 20th centuries, some U.S. cities enacted so-called ""ugly laws"" banning people deemed ""diseased, maimed, mutilated or in any way deformed so as to be an unsightly or disgusting object or improper person"" from public spaces.",David Emery,True
Wheaties cereal sticks to magnets because it has metal flakes.,Bethania Palma,true
A video shows worms found by a consumer inside the candy wrappers of Ferrero Rocher chocolates.,Bethania Palma,unproven
"A law firm working with Donald Trump was named ""Russia Law Firm of the Year.""",Dan Evon,PARTLY TRUE
Denzel Washington criticized Meryl Streep for making a political speech during the 2017 Golden Globes award ceremony.,Dan Evon,MOSTLY FALSE
,,
A picture depicts a paralyzed man's groomsmen holding him up so he could marry his bride.,Kim LaCapria,false
CNN reported that Twitter is deleting Donald Trump's account over its use of 'racist rhetoric.',Kim LaCapria,false
"Jimi Hendrix, Jim Morrison, Janis Joplin, and Kurt Cobain all died with white Bic lighters in their pockets.",Dan Evon,FALSE
President-Elect Donald Trump appointed Sarah Palin Science and Technology Advisor.,Kim LaCapria,false
"Pranksters briefly changed California's iconic ""Hollywood"" sign to read ""Hollyweed.""",Kim LaCapria,True
"Joel Osteen offered to reveal ""God's plan"" to anyone who donated $5,000 to his ministry.",Bethania Palma,false
,,
,,
Criminals at gas stations are handing out key rings with transmitters that enable them to track potential burglary or carjacking victims.,David Mikkelson,false
Glen Eagles hospital issued an urgent warning because seven women have died after sniffing perfume samples received in the mail.,David Mikkelson,False
Drinking a glass of grape juice three times a day after being exposed to the stomach flu will prevent you from getting sick.,Alex Kasprak,Unproven
,,
,,
The American Dental Association said semen cuts plaque and tartar by 77%.,Alex Kasprak,False
Symbols embossed on the exterior surfaces of Oreo cookies link the product to the alleged conspiratorial activities of the Knights Templar and Freemasons.,David Emery,False
,,
,,
,,
An x-ray image shows a snake that entered a woman's stomach by crawling through her vagina.,Dan Evon,FALSE
The U.S. Supreme Court has ruled that motorists need not have licenses to drive vehicles on public roads.,Kim LaCapria,false
The Washington Post's free daily newspaper used a male gender symbol to illustrate a cover story about women's rights.,Dan Evon,TRUE
A 12-year-old girl livestreamed her suicide by hanging.,Bethania Palma,true
"Former Clinton Foundation CEO Eric Braverman has gone ""missing.""",Bethania Palma,false
Australian authorities saved 20 koalas from what is believed to be one of several underground animal brothels in the area.,Kim LaCapria,false
President Obama awarded himself the Department of Defense Medal for Distinguished Public Service.,snopes.com staff,mostly false
"A 7-year-old boy is missing after being kidnapped from his home in Harrisburg, Pennsylvania.",Arturo Garcia,outdated
A turtle grew into an odd shape after being trapped in a rubber band for years.,Bethania Palma,mostly true
Rapists are using small children who appear to be lost to lure victims to them.,snopes.com staff,false
"Typing ""Facebook Security"" into the ""block search"" field reveals the users Facebook is paying to secretly spy on you.",Kim LaCapria,false
,,
"Donald Trump tweeted and deleted a candid, regretful statement in the early hours of New Year's Day.",Kim LaCapria,false
,,
A computer infected by malware proved a Vermont power company has been targeted for disruption by Russian hackers.,snopes.com staff,mostly false
